etID  | Input | Popular Latin | Old Spanish | Middle Spanish | Output {GOLD}
106    | #frˌikˈɑːre# | *#frˌikˈɑːre# | *#fɾˌeɡˈɑɾe# | *#fɾˌeɡˈɑɾ# | *#fɾeɡˈɑɾ# {GOLD: #fɾeɡˈɑɾ#}
107    | #frˌiːksˈeolum# | *#frˌiːksˈeolum# | *#fɾˌijsjwˈelo# | *#fɾˌiʃwˈelo# | *#fɾixwˈelo# {GOLD: #fɾiswˈelo#}
108    | #frˌiːkt̪iˈɑːre# | *#frˌiːkt̪iˈɑːre# | *#fɾˌijt͡sˈɑɾe# | *#fɾˌis̪ˈɑɾ# | *#fɾiθˈɑɾ# {GOLD: #fɾiθˈɑɾ#}
109    | #fˈebrem# | *#fˈebrem# | *#ɸjˈebɾe# | *#ʝˈebɾe# | *#ʝˈebɾe# {GOLD: #ʝˈebɾe#}
110    | #fˈeːkiː# | *#fˈeːkiː# | *#ɸˈed͡zi# | *#ˈes̪# | *#ˈeθ# {GOLD: #ˈiθe#}
111    | #fˈelem# | *#fˈelem# | *#ɸjˈele# | *#ʝˈel# | *#ʝˈel# {GOLD: #ʝˈel#}
112    | #fˈerrum# | *#fˈerrum# | *#ɸjˈero# | *#ʝˈero# | *#ʝˈero# {GOLD: #ʝˈero#}
113    | #fˌerrˈuɡine# | *#fˌerrˈuɡine# | *#ɸˌerˈojne# | *#ˌirwˈen# | *#irwˈen# {GOLD: #erˈin#}
114    | #fˈerɑm# | *#fˈerɑm# | *#ɸjˈeɾɑ# | *#ʝˈeɾɑ# | *#ʝˈeɾɑ# {GOLD: #fjˈeɾɑ#}
115    | #fˈeːmin̪ɑ# | *#fˈeːmin̪ɑ# | *#ɸˈemen̪ɑ# | *#ˈembɾɑ# | *#ˈembɾɑ# {GOLD: #ˈembɾɑ#}
116    | #fˈemit̪ɑ# | *#fˈemit̪ɑ# | *#ɸjˈemed̪ɑ# | *#ʝˈen̪d̪ɑ# | *#ʝˈen̪d̪ɑ# {GOLD: #ʝˈen̪d̪ɑ#}
117    | #fˈeːn̪um# | *#fˈeːn̪um# | *#ɸˈen̪o# | *#ˈen̪o# | *#ˈen̪o# {GOLD: #ˈen̪o#}
118    | #fˈibrɑ# | *#fˈibrɑ# | *#ɸˈebɾɑ# | *#ˈebɾɑ# | *#ˈebɾɑ# {GOLD: #ˈebɾɑ#}
119    | #fˈid̪em# | *#fˈid̪em# | *#ɸˈee# | *#ˈe# | *#ˈe# {GOLD: #fˈe#}
120    | #fˈiːkum# | *#fˈiːkum# | *#ɸˈiɡo# | *#ˈiɡo# | *#ˈiɡo# {GOLD: #ˈiɡo#}
121    | #fˈiːlum# | *#fˈiːlum# | *#ɸˈilo# | *#ˈilo# | *#ˈilo# {GOLD: #ˈilo#}
122    | #fˈiːkt̪um# | *#fˈiːkt̪um# | *#ɸˈijt̪o# | *#ˈit͡ʃo# | *#ˈit͡ʃo# {GOLD: #ˈit̪o#}
123    | #fˈiːlium# | *#fˈiːlium# | *#ɸˈiʎo# | *#ˈiʃo# | *#ˈixo# {GOLD: #ˈixo#}
124    | #fˈiːliɑm# | *#fˈiːliɑm# | *#ɸˈiʎɑ# | *#ˈiʃɑ# | *#ˈixɑ# {GOLD: #ˈixɑ#}
125    | #fˈiːn̪em# | *#fˈiːn̪em# | *#ɸˈin̪e# | *#ˈin̪# | *#ˈin̪# {GOLD: #fˈin̪#}
126    | #fˈoe̯d̪um# | *#fˈoe̯d̪um# | *#ɸˈeo# | *#ˈeo# | *#ˈeo# {GOLD: #fˈeo#}
127    | #fˈokum# | *#fˈokum# | *#fwˈeɡo# | *#fwˈeɡo# | *#fwˈeɡo# {GOLD: #fwˈeɡo#}
128    | #fˈoliɑ# | *#fˈoliɑ# | *#ɸˈoʎɑ# | *#ˈoʃɑ# | *#ˈoxɑ# {GOLD: #ˈoxɑ#}
129    | #fˌoliˈɑːt̪ilem# | *#fˌoliˈɑːt̪ilem# | *#ɸˌuʎˈɑd̪ʎe# | *#ˌuʃˈɑld̪e# | *#uxˈɑld̪e# {GOLD: #oxˈɑld̪e#}
