Latin_orthography,Latin_IPA,freqTFTL,Spanish_IPA,,
spartum,spartum,,espáɾto,,
rīpāriam,riːpaːriam,,ɾibéɾa,,
lūctam,luːktam,,lúʧa,,
cōrtem,koːrtem,,kóɾte,,
scālam,skaːlam,,eskála,,
culcitam,kulkitam,,kólʧa,,
līnum,liːnum,,líno,,
spūmam,spuːmam,,espúma,,
quadrus,kwadrus,,kwádɾo,,
speculum,spekulum,,espéxo,,
necessitātem,nekessitaːtem,,neθesidád,,
scamnum,skamnum,,eskáɲo,,
suspecta,suspekta,,sospéʧa,,
computāre,komputaːre,,kontáɾ,,
dēsīderāre,deːsiːderaːre,,deseáɾ,,
dolum,dolum,,dwélo,,
culminem,kulminem,,kúmbɾe,,
temptātiōnem,temptaːtioːnem,,tentaθjón,,
inimīcum,inimiːkum,,enemígo,,
regula,regula,,ɾéxa,,
accentum,akkentum,,aθénto,,
cilia,kilia,,θéxa,,
cōturnīcem,koːturniːkem,,kodoɾníθ,,
trāditōrem,traːditoːrem,,tɾajdóɾ,,
gryllum,gryllum,,gɾíʎo,,
positūra,posituːra,,postúɾa,,
cūrāre,kuːraːre,,kuɾáɾ,,
mīrāculum,miːraːkulum,,milágɾo,,
sentimentum,sentimentum,,sentimjénto,,
seniōrem,senioːrem,,seɲóɾ,,
māxillam,maːxillam,,mexíʎa,,
audītum,awdiːtum,,oído,,
rēniōnem,reːnioːnem,,ɾiɲón,,
vestītum,westiːtum,,bestído,,
sōlitārius,soːlitaːrius,,soltéɾo,,
accūsātiōnem,akkuːsaːtioːnem,,akusaθjón,,
balneum,balneum,,báɲo,,
spongia,spongia,,espónxa,,
fabam,fabam,,ába,,
augmentum,awgmentum,,awménto,,
magis,magis,,más,,
spatium,spatium,,espáθjo,,
dubitāre,dubitaːre,,dudáɾ,,
barbam,barbam,,báɾba,,
lambō,lamboː,,lámo,,
cirrum,kirrum,,θéro,,
collīnam,kolliːnam,,kolína,,
illos,illos,,éʎos,,
illās,illaːs,,éʎas,,
guttam,guttam,,góta,,
tussem,tussem,,tós,,
difficilis,diffikilis,,difíθil,,
plēnum,pleːnum,,ʎéno,,
cōnsuō,koːnsuoː,,kóso,,
aequālem,ajkwaːlem,,igwál,,
pēnsāre,peːnsaːre,,pesáɾ,,
campsāre,kampsaːre,,kansáɾ,,
collocāre,kollokaːre,,kolgáɾ,,
villum,willum,,béʎo,,
musteum,musteum,,móθo,,
operārium,operaːrium,,obɾéɾo,,
muccum,mukkum,,móko,,
fētēre,feːteːre,,edéɾ,,
cippus,kippus,,θépo,,
conchulam,konkʰulam,,kónʧa,,
sellam,sellam,,síʎa,,
bāsiāre,baːsiaːre,,besáɾ,,
vittam,wittam,,béta,,
surdum,surdum,,sóɾdo,,
corrigia,korrigia,,koréa,,
fūmigāre,fuːmigaːre,,umeáɾ,,
funda,funda,,ónda,,
vacīvum,wakiːwum,,baθío,,
valentem,walentem,,baljénte,,
valla,walla,,báʎa,,
fructum,fruktum,,fɾúto,,
krassa,krassa,,gɾása,*,
afflō,affloː,,áʎo,,
fovea,fowea,,óʎa,,
plānum,plaːnum,,ʎáno,,
litterātus,litteraːtus,,letɾádo,,
rādere,raːdere,,ɾaéɾ,,
planctum,planktum,,ʎánto,,
planta,planta,,ʎánta,,
pretium,pretium,,pɾéθjo,,
duracinum,durakinum,,duɾáθno,,
plōrāre,ploːraːre,,ʎoɾáɾ,,
ferrārius,ferraːrius,,eréɾo,,
cūpa,kuːpa,,kúba,,
paleam,paleam,,páxa,,
sinum,sinum,,séno,,
gȳrāre,gyːraːre,,xiɾáɾ,,
māteriam,maːteriam,,madéɾa,,
vēnditam,weːnditam,,bénta,,
cubum,kubum,,kúbo,,
fēnum,feːnum,,éno,,
ampullam,ampullam,,ampóʎa,,
cēram,keːram,,θéɾa,,
mūla,muːla,,múla,,
cuius,kuius,,kújo,,
rubeum,rubeum,,ɾúbjo,,
constāre,konstaːre,,kostáɾ,,
rāstellum,raːstellum,,ɾastɾíʎo,*,
cervum,kerwum,,θjéɾbo,,
ānellum,aːnellum,,aníʎo,,
aptāre,aptaːre,,atáɾ,,
cinctūra,kinktuːra,,θintúɾa,,
prātum,praːtum,,pɾádo,,
mūtāre,muːtaːre,,mudáɾ,,
asinum,asinum,,ásno,,
alecrem,alekrem,,alégɾe,,
certum,kertum,,θjéɾto,,
captiō,kaptioː,,káθo,*,
strictum,striktum,,estreʧo,,
dominum,dominum,,dwéɲo,,
laxius,laxius,,léxos,,
